#	RISK("!"), SLEEPER("$"), ROOKIE("R"), NEW_TEAM("@"), FAVORITE("*"), RISING("+"), FALLING("-"), INJURY_RISK("i"), BUST("B")
A.J. Brown,i,18218
AJ Dillon,S,19358
Aaron Jones,,16673
Adam Humphries,C,14498
Adam Thielen,B,13429
Adam Trautman,S,19423
Amari Cooper,$Ci,13894
Amari Rodgers,R,20132
Amon-Ra St. Brown,R,19799
Anthony Schwartz,C,20125
Antonio Gandy-Golden,C,19338
Antonio Gibson,iC,19624
Austin Hooper,C,15581
Baker Mayfield,C,17237
Ben Roethlisberger,B,9039
Blake Jarwin,iCS,16638
Brandin Cooks,$,12122
Brandon Aiyuk,i,19252
Breshad Perriman,S,13975
Brevin Jordan,R,20162
Bryce Love,C,18266
Calvin Ridley,i,17258
Cam Newton,i,9869
Cam Sims,C,18016
Carolina Panthers,C,8040
Carson Wentz,S,15520
Cedrick Wilson,C,17262
CeeDee Lamb,^C,19202
Chase McLaughlin,C,19058
Chris Carson,i,16754
Chris Godwin,i,16406
Christian McCaffrey,iC,16393
Chuba Hubbard,RC,19792
Cleveland Browns,C,8070
Clyde Edwards-Helaire,$i,19325
Cody Parkey,C,13806
Corey Davis,i,16385
Courtland Sutton,i,17253
Curtis Samuel,iC,16434
D'Wayne Eskridge,R,22785
D.J. Chark Jr.,B,17292
D.J. Moore,C,17265
Dak Prescott,iC,15600
Dallas Cowboys,C,8080
Dallas Goedert,^,17270
Dalton Schultz,C,17349
Damien Harris,S,18230
Dan Arnold,C,17143
Daniel Jones,BC,18232
Darius Slayton,C,18706
Davante Adams,*,12123
David Moore,C,16757
David Njoku,C,16399
Davis Mills,R,22799
DeVonta Smith,^R,19222
Deebo Samuel,i,18244
Demetric Felton,C,20105
Devontae Booker,C,15555
Dez Fitzpatrick,R,20112
Dion Lewis,C,9983
Donovan Peoples-Jones,C,19298
Dustin Hopkins,C,11818
Dyami Brown,RC,20113
Elijah Moore,R,20114
Evan Engram,C,16411
Ezekiel Elliott,C,15498
Gary Brightwell,C,23293
George Kittle,i,16499
Gerald Everett,S,16459
Graham Gano,C,9232
Greg Zuerlein,C,11345
Gus Edwards,$,17687
Harrison Bryant,C,19389
Henry Ruggs III,S,19207
Hunter Henry,B,15561
Ian Thomas,C,17387
Irv Smith Jr.,^,18610
J.D. McKissic,C,16230
Ja'Marr Chase,^R,19788
Jalen Hurts,^,19275
James Conner,$,16447
Jared Cook,$,9265
Jaret Patterson,C,20155
Jarvis Landry,C,12128
Javonte Williams,RS,22739
Jaylen Waddle,iR,19790
Jeff Wilson Jr.,i,18026
Jimmy Garoppolo,i,12208
Joe Burrow,^i,19196
Joe Mixon,^i*,16420
Joey Slye,C,19028
John Ross,C,16388
Julio Jones,i,9867
Justin Fields,R,19781
Kadarius Toney,RC,20119
Kareem Hunt,C,16425
Kelvin Harmon,C,18228
Kenneth Gainwell,R,23310
Kenny Golladay,C,16488
Kirk Cousins,$,11177
Kyle Pitts,^R,20164
Kyle Rudolph,C,9906
Kyler Murray,i,18600
Logan Thomas,BC,12095
Mac Jones,R,20156
Marquise Brown,B,18226
Melvin Gordon III,B,13903
Michael Carter,RS,22728
Michael Gallup,BC,17259
Michael Pittman Jr.,i,19278
Michael Thomas,i,15528
Mike Davis,$,13943
Miles Sanders,B,18283
Najee Harris,^R,19302
Nelson Agholor,S,13969
New York Giants,C,8200
New York Jets,C,8210
Nick Chubb,C,17246
Nico Collins,R,20130
Noah Fant,$i,17527
Nyheim Hines,B,17297
O.J. Howard,i,16380
Odell Beckham Jr.,iC,12127
Parris Campbell,i,18463
Pat Freiermuth,R,20163
Patrick Mahomes II,i,16413
Peyton Barber,C,15920
Raheem Mostert,i,14338
Rashaad Penny,i,17308
Rashard Higgins,C,15586
Rashod Bateman,R,19794
Rhamondre Stevenson,R,22726
Robby Anderson,$C,15688
Rondale Moore,R,19796
Russell Gage,S,17606
Ryan Fitzpatrick,SC,9545
Ryan Tannehill,$,11174
Ryquell Armstead,C,18521
Sam Darnold,C,17236
Saquon Barkley,iC,17240
Shi Smith,C,20127
Sterling Shepard,C,15569
Steven Sims Jr.,C,18962
T.J. Hockenson,^,18290
T.Y. Hilton,$,11206
Taylor Heinicke,C,13932
Taysom Hill,$,17115
Terrace Marshall Jr.,iCR,23242
Terry McLaurin,^Ci,18466
Tom Brady,$,9603
Tommy Tremble,C,22795
Tony Pollard,C,18705
Travis Etienne,$R,19231
Trenton Cannon,C,17538
Trevor Lawrence,RS,19780
Trey Lance,R,20082
Trey Sermon,R,19425
Tutu Atwell,R,20126
Tyler Higbee,$,15623
Tyrell Williams,i,14324
Washington Football Team,C,8310
Zach Ertz,B,11689
Zach Wilson,R,22679
