Overall,Player,Position,Pos Rank,Tier
1,Justin Jefferson,WR,1,1
2,Ja'Marr Chase,WR,2,2
3,Tyreek Hill,WR,3,2
4,Christian McCaffrey,RB,1,2
5,Cooper Kupp,WR,4,2
6,Bijan Robinson,RB,2,3
7,Travis Kelce,TE,1,3
8,Austin Ekeler,RB,3,3
9,AJ Brown,WR,5,4
10,CeeDee Lamb,WR,6,4
11,Stefon Diggs,WR,7,4
12,Tony Pollard,RB,4,4
13,Nick Chubb,RB,5,4
14,Saquon Barkley,RB,6,4
15,Davante Adams,WR,8,4
16,Amon-Ra St. Brown,WR,9,4
17,Garrett Wilson,WR,10,4
18,Jonathan Taylor,RB,7,4
19,Jaylen Waddle,WR,11,5
20,Derrick Henry,RB,8,5
21,Rhamondre Stevenson,RB,9,6
22,Josh Jacobs,RB,10,6
23,Breece Hall,RB,11,6
24,Tee Higgins,WR,12,7
25,Devonta Smith,WR,13,7
26,Chris Olave,WR,14,7
27,Jalen Hurts,QB,1,8
28,Patrick Mahomes,QB,2,8
29,Josh Allen,QB,3,8
30,Mark Andrews,TE,2,9
31,Amari Cooper,WR,15,9
32,Jahmyr Gibbs,RB,12,9
33,Keenan Allen,WR,16,9
34,DK Metcalf,WR,17,9
35,Calvin Ridley,WR,18,9
36,Joe Mixon,RB,13,9
37,Travis Etienne,RB,14,9
38,Najee Harris,RB,15,9
39,Lamar Jackson,QB,4,10
40,Christian Watson,WR,19,10
41,Jerry Jeudy,WR,20,10
42,Drake London,WR,21,10
43,Deebo Samuel,WR,22,10
44,Aaron Jones,RB,16,11
45,Joe Burrow,QB,5,11
46,Justin Fields,QB,6,11
47,TJ Hockenson,TE,3,11
48,DJ Moore,WR,23,11
49,Rachaad White,RB,17,11
50,Terry McLaurin,WR,24,11
51,Tyler Lockett,WR,25,11
52,Christian Kirk,WR,26,12
53,Kenneth Walker,RB,18,12
54,Diontae Johnson,WR,27,12
55,JK Dobbins,RB,19,12
56,DeAndre Hopkins,WR,28,12
57,Mike Williams,WR,29,12
58,Chris Godwin,WR,30,12
59,Jaxon Smith-Njigba,WR,31,13
60,Brandon Aiyuk,WR,32,13
61,Jordan Addison,WR,33,13
62,Marquise Brown,WR,34,13
63,Cam Akers,RB,20,14
64,Alexander Mattison,RB,21,14
65,Michael Pittman,WR,35,14
66,Dallas Goedert,TE,4,14
67,Kyle Pitts,TE,5,14
68,George Pickens,WR,36,15
69,Jahan Dotson,WR,37,15
70,Mike Evans,WR,38,15
71,David Montgomery,RB,22,15
72,Justin Herbert,QB,7,15
73,Miles Sanders,RB,23,15
74,James Conner,RB,24,15
75,Elijah Moore,WR,39,15
76,Quentin Johnston,WR,40,16
77,Dameon Pierce,RB,25,16
78,Brandin Cooks,WR,41,16
79,George Kittle,TE,6,17
80,Darren Waller,TE,7,17
81,Treylon Burks,WR,42,17
82,Deshaun Watson,QB,8,17
83,Trevor Lawrence,QB,9,17
84,D'Andre Swift,RB,26,18
85,James Cook,RB,27,18
86,Isiah Pacheco,RB,28,18
87,Javonte Williams,RB,29,18
88,Alvin Kamara,RB,30,18
89,Dalvin Cook,RB,31,18
90,Michael Thomas,WR,43,18
91,David Njoku,TE,8,18
92,Pat Freiermuth,TE,9,18
93,Gabe Davis,WR,44,18
94,Zay Flowers,WR,45,18
95,Evan Engram,TE,10,19
96,Rashod Bateman,WR,46,19
97,Skyy Moore,WR,47,19
98,Anthony Richardson,QB,10,19
99,Samaje Perine,RB,32,19
100,Daniel Jones,QB,11,20
101,AJ Dillon,RB,33,20
102,Zach Charbonnet,RB,34,20
103,Antonio Gibson,RB,35,20
104,Devon Achane,RB,36,20
105,Courtland Sutton,WR,48,21
106,Geno Smith,QB,12,21
107,Tua Tagovailoa,QB,13,21
108,Rashaad Penny,RB,37,21
109,Khalil Herbert,RB,38,21
110,Jerick McKinnon,RB,39,22
111,Brian Robinson,RB,40,22
112,JuJu Smith-Schuster,WR,49,22
113,Dak Prescott,QB,14,23
114,Jaylen Warren,RB,41,23
115,Damien Harris,RB,42,23
116,Elijah Mitchell,RB,43,23
117,Tank Bigsby,RB,44,23
118,Greg Dulcich,TE,11,23
119,Nico Collins,WR,50,23
120,Jameson Williams,WR,51,23
121,Jakobi Meyers,WR,52,23
122,Zay Jones,WR,53,23
123,Rondale Moore,WR,54,23
124,Kendre Miller,RB,45,23
125,Roschon Johnson,RB,46,24
126,Aaron Rodgers,QB,15,24
127,Jerome Ford,RB,47,24
128,Kirk Cousins,QB,16,24
129,Dalton Schultz,TE,12,24
130,Jeff Wilson,RB,48,24
131,Kadarius Toney,WR,55,25
132,Jared Goff,QB,17,25
133,Darnell Mooney,WR,56,25
134,Tyler Allgeier,RB,49,25
135,Raheem Mostert,RB,50,25
136,Michael Gallup,WR,57,25
137,Jamaal Williams,RB,51,25
138,Tyler Boyd,WR,58,25
139,Tyler Higbee,TE,13,25
140,Jayden Reed,WR,59,26
141,Gerald Everett,TE,14,26
142,Russell Wilson,QB,18,26
143,Juwan Johnson,TE,15,26
144,Dalton Kincaid,TE,16,26
