#	RISK("!"), SLEEPER("$"), ROOKIE("R"), NEW_TEAM("@"), FAVORITE("*"), RISING("+"), FALLING("-"), INJURY_RISK("i"), BUST("B")
A.J. Brown,*,18218
Aaron Rodgers,B,9001
Alvin Kamara,B,16421
Amari Cooper,C,13894
Amon-Ra St. Brown,*,19799
Anthony Richardson,BR*,24347
Antonio Gibson,$*,19624
Bijan Robinson,^R*,23133
Brandin Cooks,-,12122
Brenton Strange,R,25345
Brian Robinson Jr.,B,20094
Bryce Young,R,22900
C.J. Stroud,R,23071
Cade York,C,24549
Cedric Tillman,RC,25287
Chigoziem Okonkwo,S*,23982
Chris Godwin,B,16406
Chris Olave,*,20111
Christian Watson,*,23886
Cleveland Browns,C,8070
Cole Kmet,B,19229
Courtland Sutton,B,17253
DJ Moore,B,17265
Dak Prescott,B,15600
Dallas Goedert,$,17270
Dalton Kincaid,RS,25247
Damien Harris,B,18230
Daniel Jones,$*,18232
Darnell Mooney,B,19810
Darnell Washington,R,22967
David Bell,C,23108
David Montgomery,$*,18239
David Njoku,$C*,16399
De'Von Achane,R*,23136
DeWayne McBride,-R,25265
Deebo Samuel,B,18244
Demetric Felton Jr.,C,20105
Derrick Henry,B,15514
Deshaun Watson,C*,16398
Diontae Johnson,*,18615
Donovan Peoples-Jones,C,19298
Drake London,*,23163
Elijah Moore,C*,20114
Garrett Wilson,^,23072
Geno Smith,^*,11687
George Kittle,B,16499
Greg Dulcich,*,23153
Harrison Bryant,C,19389
Isaiah Hodgins,$,19375
Isiah Pacheco,B,24333
Jahan Dotson,^,23101
Jahmyr Gibbs,^R*,22968
Jalin Hyatt,R,25251
James Conner,$,16447
James Cook,*,22958
Javonte Williams,B,22739
Jaxon Smith-Njigba,R*,23070
Jayden Reed,R$*,23020
Jaylen Warren,S$*,24209
Jeff Wilson Jr.,*,18026
Jerome Ford,C,22921
Jerry Jeudy,^*,19201
John Metchie III,-,22895
Jonathan Mingo,R,23030
Jordan Addison,RS*,23107
Jordan Akins,C,17415
Josh Downs,R,24706
JuJu Smith-Schuster,B,16427
Keenan Allen,$,11616
Kendre Miller,RS,24360
Kenny Pickett,$,22722
Kevin Harris,-,23117
Khalil Shakir,$,23748
Kirk Cousins,SB,11177
Kyle Pitts,^,20164
Kyler Murray,S$,18600
Lamar Jackson,*,17233
Luke Musgrave,R,25282
Luke Schoonmaker,R,25267
Marquise Brown,*,18226
Marquise Goodwin,C,11599
Marvin Mims Jr.,R,23080
Michael Mayer,R,23056
Michael Pittman Jr.,B,19278
Michael Wilson,R,25333
Miles Sanders,^B,18283
Najee Harris,B,19302
Nick Chubb,C*,17246
Odell Beckham Jr.,B,12127
Pat Freiermuth,^,20163
Pierre Strong Jr.,-,24173
Puka Nacua,$R,23180
Quentin Johnston,R*,23123
Rachaad White,*,23891
Rashee Rice,R,23113
Rashid Shaheed,$,24687
Rondale Moore,*,19796
Roschon Johnson,R,25322
Sam LaPorta,R,22978
Samaje Perine,*,16423
Saquon Barkley,*,17240
Skyy Moore,*,23905
Tank Bigsby,R$,22908
Tank Dell,R,25361
Terry McLaurin,$,18466
Tim Patrick,*,16556
Tony Pollard,*,18705
Tre Tucker,R,25337
Trevor Lawrence,^,19780
Treylon Burks,S,22905
Tua Tagovailoa,$,19198
Tucker Kraft,R,25298
Ty Chandler,-,19471
Tyjae Spears,R,25323
Tyler Lockett,$*,13971
Tyler Scott,R,25442
Van Jefferson,S,19483
Will Levis,R,22987
Zach Charbonnet,R*,23152
Zamir White,-,20095
Zay Flowers,R*,22916
